Song Title;Artist;Lyrics;bpm;Push myself score;Have fun score;Stress relief score;Relax / focus score;Get motivated score;Spotify URI
Blinding Lights;The Weekend;"Yeah

I?ve been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I?m going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (oh)
No one?s around to judge me (oh)
I can?t see clearly when you're gone

I said, ooh, I?m blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I?m drowning in the night
Oh, when I'm like this, you?re the one I trust
(Hey, hey, hey)


I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city?s cold and empty (oh)
No one?s around to judge me (oh)
I can't see clearly when you?re gone

I said, ooh, I'm blinded by the lights
No, I can?t sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I?m like this, you're the one I trust

I'm just walking by to let you know (by to let you know)
I can never say it on the phone (say it on the phone)
Will never let you go this time (ooh)

I said, ooh, I?m blinded by the lights
No, I can?t sleep until I feel your touch
(Hey, hey, hey)

(Hey, hey, hey)

I said, ooh, I'm blinded by the lights
No, I can?t sleep until I feel your touch";171;1;0;5;0;0;spotify:track:0VjIjW4GlUZAMYd2vXMi3b
Pon de Replay;Rihanna;"Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

It goes one by one, even two by two
Everybody on the floor, let me show you how we do
Let's go, dip it low, then you bring it up slow
Wind it up one time, wind it back once more


Come run, run, run, run
Everybody move, run
Lemme see you move and rock it 'til the groove done
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club, give me a run (Run)
If you ready to move say it (Yeah)
One time for your mind say it (Yeah, yeah)
Well, I'm ready for ya
Come let me show ya
You want to groove, I'mma show you how to move

Come, come Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Hey, Mr
Please, Mr. DJ
Tell me if you hear me
Turn the music up

Hey, Mr
Hey, Mr
Please, Mr. DJ
Tell me if you hear me
Turn the music up


It goes one by one, even two by two
Everybody in the club gon' be rocking when I'm through
Let the bass from the speakers run through ya sneakers
Move both ya feet and run to the beat

Come run, run, run, run
Everybody move, run
Lemme see you move and rock it 'til the groove done
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club give me a run (Run)
If you ready to move say it (Yeah)
One time for your mind say it (Yeah, yeah)
Well, I'm ready for ya
Come let me show ya
You want to groove, I'mma show you how to move

Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Hey, Mr
Hey, Mr
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Turn the music up right now)

Hey, Mr
Oh, Mr
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Turn the music up right now)

Okay, everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling
Everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling

Mr. DJ, song pon de replay (Come, Mr. DJ, song pon de replay)
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what (All the gyal pon the dancefloor)
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay (Hey Mr. DJ, boy)
Hey Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?";99;0;2;3;1;0;spotify:track:4TsmezEQVSZNNPv5RJ65Ov
Since U Been Gone;Kelly Clarkson;"Here?s the thing, we started out friends
It was cool, but it was all pretend
Yeah, yeah
Since you been gone

You're dedicated, you took the time
Wasn?t long 'til I called you mine
Yeah, yeah
Since you been gone

And all you'd ever hear me say
Is how I picture me with you
That?s all you?d ever hear me say

But since you been gone
I can breathe for the first time
I'm so moving on, yeah, yeah
Thanks to you
Now I get what I want
Since you been gone


How can I put it? You put me on
I even fell for that stupid love song
Yeah, yeah
Since you been gone

How come I?d never hear you say, ""I just wanna be with you""?
Guess you never felt that way

But since you been gone
I can breathe for the first time
I'm so moving on, yeah, yeah
Thanks to you
Now I get, (I get) what I want
Since you been gone

You had your chance, you blew it
Out of sight, out of mind
Shut your mouth, I just can?t take it
Again, and again, and again, and again

Since you been gone (since you been gone)
I can breathe for the first time
I'm so moving on, yeah, yeah
Thanks to you (thanks to you)
Now I get, I get what I want


I can breathe for the first time
I?m so moving on, yeah, yeah
Thanks to you (thanks to you)
Now I get (I get)
You should know (you should know)
That I get, I get what I want

Since you been gone
Since you been gone
Since you been gone";131;0;0;3;1;0;spotify:track:6JY1IdkZGeIcPegKxjSKeb
Pump It;Black Eyed Peas;"Pump it.
And Pump it louder.
Pump it louder.
Pump it louder.
Pump it louder.

Turn up the radio
Blast your stereo
Right.

Niggas wanna hate on us (Who?)
Niggas be envious (Who?)
I know why they hatin? on us (Why?)
Cause not so Fabolous (What?)
I'm a be real on us (Come on)
Nobody got nuttin? on us (No)
Girls be all on us, from London back down to the U.S.

We rockin' it contagious, monkey business outrageous
Just confess, your girl admits that we the shit
F R E S H we fresh, B E F, that's right we dep rock
We definite, BEP we rockin? it, so.


Turn it up.
Turn it up.
Turn it up.
Turn it up.

Turn it up.
Come on baby just
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
And say, oh oh oh oh
Say, oh oh oh oh
Yo yo.

Turn up the radio
Blast your stereo right now
This joint is fizzlin? it's sizzlin? right.

You check this out right here?

Dude wanna hate on us (Dude)
Dude need to ease on up (Dude)


Dude wanna act on up
But dude get shut like flavor shut down
Chick say she ain't down
But chick backstage when we in town
She like man on junk food
She wanna hit n? runers
Yeah, that's the speed, that?s what we do, that's who we be
B L A C K E Y E D P to the E, then the A to the S
When we play you shake your ass
Shake it, shake it, shake it girl
Make sure you don't break it, girl, cause we gonna...

Turn it up.
Turn it up.
Turn it up.
Turn it up.

Turn it up.
Come on baby just
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
And say, oh oh oh oh
Say, oh oh oh oh
Yo yo.

Turn up the radio
Blast your stereo right now
This joint is fizzlin? it?s sizzlin' right.

Damn.
Damn.
Damn.
Damn.
Damn.

APL DE AP from Philippines
Live and direct, rockin? the scene
Break it on down for the B-boys and B-girls waiting to do they thing
Pump it, louder come on, don't stop, and keep it going
Do it, let?s get it on, move it
Come on, baby, do it
Hut.

La da de da da de da,
On the stereo
Let the speakers blow your mind.

Blow my mind baby.

Just let it go, let it go, here we go.
La da de da da de da,

Come on, we're there.

On the radio.
The system?s got me feel so fine.

Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
And say, oh oh oh oh
Say, oh oh oh oh
Yo yo, turn up the radio
Blast your stereo right now
This joint is fizzlin' it's sizzlin? right.";154;3;0;0;2;0;spotify:track:2ygMBIctKIAfbEBcT9065L
Circus;Britney Spears;"There?s only two types of people in the world:
The ones that entertain, and the ones that observe
Well, baby, I'm a put on-a-show kind of girl
Don?t like the back seat, gotta be first

I'm like the ring leader, I call the shots
(Call the shots)
I'm like a firecracker I make it hot
When I put on a show

I feel the adrenaline moving through my veins
Spotlight on me and I?m ready to break
I?m like a performer, the dance floor is my stage
Better be ready, hope that you feel the same

All eyes on me in the center of the ring just like a circus
When I crack that whip everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus


There's only two types of guys out there
Ones that can hang with me and ones that are scared
So, baby, I hope that you came prepared
I run a tight ship so beware

I?m like the ring leader, I call the shots
(Call the shots)
I'm like a firecracker I make it hot
When I put on a show

I feel the adrenaline moving through my veins
Spotlight on me and I?m ready to break
I'm like a performer, the dance floor is my stage
Better be ready, hope that you feel the same

All eyes on me in the center of the ring just like a circus
When I crack that whip everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus

Let?s go
Let me see what you can do
I'm runnin? this like-like-like a circus
Yeah, like a what? Like-like-like a circus


All eyes on me in the center of the ring just like a circus
When I crack that whipv everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus

All eyes on me in the center of the ring just like a circus
When I crack that whipv everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus";115;1;1;1;0;0;spotify:track:7jk7gqyEonmVVYahZN5zhW
Locked out of Heaven;Bruno Mars;"Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah

Never had much faith in love or miracles (miracles)
Never wanna put my heart on the line
But swimming in your world is something spiritual (spiritual)
I?m born again every time you spend the night

('Cause your sex takes me to paradise)
(Yeah, your sex takes me to paradise)
(And it shows, yeah, yeah, yeah)


?Cause you make me feel like
I've been locked out of heaven
For too long, for too long
Yeah, you make me feel like
I've been locked out of heaven
For too long, for too long

You bring me to my knees, you make me testify (testify)
You can make a sinner change his ways
Open up your gates ?cause I can?t wait to see the light (see the light)
And right there is where I wanna stay

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah...

(?Cause you make me feel like)
(I've been locked out of heaven)
(For too long, for too long)
(Yeah, you make me feel like)
(I?ve been locked out of heaven)
(For too long, for too long)";144;0;1;2;1;0;spotify:track:3w3y8KPTfNeOKPiqUTakBh
I need A Doctor;Dr. Dre, Eminem, Skylar Grey;"I?m about to lose my mind
You've been gone for so long
I?m runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life

I told the world, one day I would pay it back
Say it on tape, and lay it, record it
So that one day I could play it back
But I don't even know if I believe it when I?m sayin? that
Doubts startin' to creep in, every day it?s just so grey and black


Hope, I just need a ray of that
'Cause no one sees my vision when I play it for ?em
They just say it's wack, but they don?t know what dope is
And I don't know if I was awake or asleep when I wrote this
All I know is, you came to me when I was at my lowest
You picked me up, breathed new life in me, I owe my life to you
But for the life of me, I don't see why you don?t see like I do
But it just dawned on me you lost a son, demons fightin? you
It's dark, let me turn on the lights
And brighten me and enlighten you

I don?t think you realise what you mean to me
Not the slightest clue, 'cause me and you were like a crew
I was like your sidekick, you gon? either wanna fight
When I get off this fuckin' mic, or you gon? hug me
But I'm outta options, there's nothin? else I can do ?cause

I'm about to lose my mind
You?ve been gone for so long
I'm runnin? out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life

It hurts when I see you struggle, you come to me with ideas
You say they're just pieces, so I?m puzzled
'Cause the shit I hear is crazy
But you're either gettin? lazy
Or you don?t believe in you no more
Seems like your own opinions, not one you can form


Can't make a decision, you keep questionin? yourself
Second guessin' and it?s almost like you're beggin? for my help
Like I'm your leader, you're supposed to fuckin? be my mentor
I can endure no more, I demand you remember who you are
It was you who believed in me when everyone was tellin? you
Don't sign me, everyone at the fuckin? label, let's tell the truth!
You risked your career for me, I know it as well as you
Nobody wanted to fuck with the white boy
Dre, I?m cryin' in this booth

You saved my life, now maybe it?s my turn to save yours
But I can never repay you, what you did for me is way more
But I ain't givin' up faith
And you ain?t givin? up on me, get up, Dre!
I'm dyin?, I need you, come back for fuck's sake!

I?m about to lose my mind
You've been gone for so long
I?m runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life
Bring me back to life
Bring me back to life
(I need a doctor, doctor to bring me back to life)

It literally feels like a lifetime ago
But I still remember the shit like it was just yesterday though
You walked in, yellow jump suit, whole room, cracked jokes
Once you got inside the booth, told you, mic smoke
Went through friends, some of them I put on, but they just left
They said they was ridin' to the death
But where the fuck are they now, now that I need them?
I don?t see none of them, all I see is Slim
Fuck all you fair-weather friends! All I need is him

Fuckin? backstabbers!
When the chips were down you just laughed at us
Now you 'bout to feel the fuckin? wrath of Aftermath, faggots!
You gon' see us in our lab jackets
And ask us where the fuck we been?
You can kiss my indecisive ass crack, maggots!
And the cracker?s ass, little cracker jack beat
Makin' wack math, backwards producers, I?m back, bastards!
One more CD and then I'm packin' up my bags, and as
I?m leavin?, I'll guarantee they?ll scream
""Dre, don't leave us like that, man!"" ?cause

I'm about to lose my mind
You?ve been gone for so long
I'm runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life";156;2;0;2;1;0;spotify:track:70ATm56tH7OrQ1zurYssz0
Adventure of a Lifetime;Coldplay;"Turn your magic on
Umi she?d say
Everything you want's a dream away
And we are legends every day
That?s what she told him

Turn your magic on
To me she'd say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds

Now I feel my heart beating
I feel my heart underneath my skin
And I feel my heart beating
Oh, you make me feel
Like I?m alive again
Alive again
Oh, you make me feel
Like I?m alive again


Said, I can't go on
Not in this way
I?m a dream, I die by light of day
Gonna hold up half the sky and say
Oh, we are omen

And I feel my heart beating
I feel my heart underneath my skin
Oh, I can feel my heart beating
'Cause you make me feel
Like I?m alive again
Alive again
Oh, you make me feel
Like I'm alive again

Turn your magic on
To me she?d say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds, taking shape
We are diamonds, taking shape


If we've only got this life
In this adventure well then I
And if we?ve only got this life
You get me through alive
And if we?ve only got this life
In this adventure well then I
Wanna share it with you
With you
With you
I said, oh
Say, oh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh";112;1;1;1;1;0;spotify:track:69uxyAqqPIsUyTO8txoP2M
Power;Kanye West;"I?m living in that 21st Century, doing something mean to it
Do it better than anybody you ever seen do it
Screams from the haters, got a nice ring to it
I guess every superhero need his theme music
No one man should have all that power

The clock's ticking, I just count the hours
Stop tripping, I?m tripping off the power
(21st-Century schizoid man)
The system broken, the school is closed, the prison's open
We ain't got nothing to lose, motherfucker we rolling

Huh? Motherfucker we rolling
With some light-skinned girls and some Kelly Rowlands
In this white man world, we the ones chosen
So goodnight, cruel world, I?ll see you in the morning
Huh? I?ll see you in the morning
This is way too much, I need a moment


No one man should have all that power
The clock's ticking, I just count the hours
Stop tripping, I?m tripping off the power
Till then, fuck that, the world's ours

And they say, and they say
And they say, and they say
And they say, and they say

(21st-Century schizoid man)

Fuck SNL and the whole cast
Tell them Yeezy said they can kiss my whole ass
More specifically they can kiss my asshole
I?m an asshole? You niggas got jokes
You short-minded niggas thoughts is Napoleon

My furs is Mongolian, my ice brought the goalies in
And I embody every characteristic of the egotistic
He knows, he's so fucking gifted
I just needed time alone with my own thoughts
Got treasures in my mind but couldn?t open up my own vault

My childlike creativity, purity and honesty
Is honestly being crowded by these grown thoughts
Reality is catching up with me
Taking my inner child, I'm fighting for custody
With these responsibilities that they entrusted me


As I look down at my diamond encrusted piece
Thinking

No one man should have all that power
The clock's ticking, I just count the hours
Stop tripping, I?m tripping off the powder
Till then, fuck that, the world?s ours
And they say, and they say

And they say, and they say
And they say, and they say
(21st-Century schizoid man)

Colin Powells, Austin Powers
Lost in translation with a whole fucking nation
They say I was the abomination of Obama's nation
Well that?s a pretty bad way to start the conversation
At the end of the day, god damn it I'm killing this shit
I know damn well y?all feeling this shit
I don't need your pussy, bitch, I?m on my own dick

I ain't gotta power trip, who you going home with?
How 'Ye doing? I?m surviving
I was drinking earlier, now I?m driving
Where the bad bitches, huh? Where you hiding?
I got the power to make your life so exciting

Now this will be a beautiful death
I'm jumping out the window, I?m letting everything go
I'm letting everything go
Now this will be a beautiful death
I?m jumping out the window, I'm letting everything go

I?m letting everything go
Now this will be a beautiful death
I'm jumping out the window, I'm letting everything go
Letting everything go
You got the power to let power go?

(21st-Century schizoid man)";154;2;2;2;2;1;spotify:track:2gZUPNdnz5Y45eiGxpHGSc
Crazy;Gnarls Barkley;"I remember when
I remember, I remember when I lost my mind
There was something so pleasant about that place
Even your emotions have an echo in so much space

And when you?re out there without care
Yeah, I was out of touch
But it wasn't because I didn?t know enough
I just knew too much

Does that make me crazy?
Does that make me crazy?
Does that make me crazy?
Possibly


And I hope that you are having the time of your life
But think twice, that's my only advice
Come on now, who do you, who do you, who do you
Who do you think you are
Ha ha ha, bless your soul
You really think you're in control

I think you?re crazy
I think you?re crazy
I think you're crazy
Just like me

My heroes had the heart to lose their lives out on the limb
And all I remember is thinking I want to be like them

Ever since I was little
Ever since I was little it looked like fun
And it?s no coincidence I've come
And I can die when I?m done

But maybe I'm crazy
Maybe you?re crazy
Maybe we're crazy
Probably";112;0;1;1;1;0;spotify:track:1vxw6aYJls2oq3gW0DujAo
Lady - Hear Me Tonight;Modjo;"Lady
Hear me tonight
?Cause my feeling
Is just so right
As we dance
By the moonlight
Can't you see
You?re my delight
Lady
I just feel like
I won't get you
Out of my mind
I feel love
For the first time
And I know that it's true
I can tell by the look in your eyes


Lady
Hear me tonight
?Cause my feeling
Is just so right
As we dance
By the moonlight
Can?t you see
You're my delight
Lady
I just feel like
I won?t get you
Out of my mind
I feel love
For the first time
And I know that it's true
I can tell by the look in your eyes

Lady
Hear me tonight
?Cause my feeling
Is just so right
As we dance
By the moonlight
Can't you see
You?re my delight
Lady
I just feel like
I won't get you
Out of my mind
I feel love
For the first time
And I know that it's true
I can tell by the look in your eyes


Lady
Hear me tonight
?Cause my feeling
Is just so right

Lately
I just feel like
I feel love
For the first time

Lady
Hear me tonight
Can?t you see
You're my delight";126;0;1;2;1;0;spotify:track:70HxNVlYQ0Hi6XqBtPLw80
Calabria 2007;Enur, Natasja;"Easy now no need fi(as in for) go down,
Easy now no need fi go down,
Rock that run that, this where we from
(Repeat 2x)
Whoop Whoop
When you run come around,
Cu(z) I kno ur the talk of the town yea
(Repeat 4x)
Easy now no need fi go down
Just walk it gently and no break nah bone,
Cool end-it-ly, you have a style of your own,
Me never kno you saw ya master the saxsaphone
Cause u sound like the talk of the town yea,
Imma lock u when u run come around yea,
Make me wobble, make me whole body bubble,
An me no say ya trouble, when ya ready for the double,
And n u hit that,
No ti-na the mickle (as in middle)
Play with it a lickle(as in little), why you so na tickle
Im tellin? you to, hit that


No ti-na the mickle (as in middle)
Stay with it a lickle(as in little), why you so na tickle
Im feelin' them
(Whoop whoop)
Easy now no need fi go down,
Easy now no need fi go down,
Walk it gently and no break nah bone
Whoop Whoop
When you run come around,
Cu(z) I kno ur the talk of the town yea
(Repeat 4x)
Best shown overall, shiny and tall,
One touch make a gal climb whoever you are,
Brass hat, hatter(as in hotter) than fireball
Whoop Whoop!
You not small you not lickle(as in little) at all
Dat touch, just dip on me mind yea
The good feelin dip on rewind yea
Make me wobble, make me whole body bubble,
An me no say ya trouble, when ya ready for the double,
And n u hit that,
No ti-na the mickle (as in middle)
Play with it a lickle(as in little), why you so na tickle
Im tellin? you to, hit that
No ti-na the mickle (as in middle)
Stay with it a lickle(as in little), why you so na tickle
Im feelin' them
Walk it gently and no break nah bone
Easy now no need fi go down,
Easy now no need fi go down,
Rock that run that, this where we from
(Repeat 2x)
Whoop Whoop
When you run come around,
Cu(z) I kno ur the talk of the town yea
(Repeat 8x)
Whooop Whooop!";126;0;2;0;1;1;spotify:track:0lwyzp7GppQxv0Eu6wRkUo
